fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,2,2 dorm.,70.50 m2,TIPO 3A,"480,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,2 unidades disponibles,9 y 11,2 dorm.,57.55 m2,TIPO 4,"385,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,2 unidades disponibles,2 y 11,2 dorm.,47.80 m2,TIPO 5,"345,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,2,2 dorm.,58.25 m2,TIPO 8C,"440,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,3,2 dorm.,65.40 m2,TIPO 9C,"460,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,3,2 dorm.,53.50 m2,TIPO 2A',"385,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,2 unidades disponibles,5 y 11,3 dorm.,70.80 m2,TIPO 1,"470,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,2 unidades disponibles,5 y 11,2 dorm.,53.50 m2,TIPO 2,"375,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,2 unidades disponibles,8 y 10,3 dorm.,72.20 m2,TIPO 3,"470,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,3 unidades disponibles,"4, 6, 8",3 dorm.,59.65 m2,TIPO 8,"420,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"30 de Septiembre, 2024",69.28 a 72.30 m2,Departamento,3 a 3 dormitorios,6 unidades disponibles,Entre 3 al 14,3 dorm.,72.30 m2,TIPO 3,"509,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2641-checor-las-dalias-cercado-de-lima-lima-lima-checor-inmobiliaria
"30 de Septiembre, 2024",69.28 a 72.30 m2,Departamento,3 a 3 dormitorios,1 unidad disponible,15,3 dorm.,69.28 m2,1503,"483,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2641-checor-las-dalias-cercado-de-lima-lima-lima-checor-inmobiliaria
"28 de Febrero, 2025",65.00 a 80.00 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,1,2 dorm.,65.05 m2,TORRE 3-1er Piso-TIPO 2,"323,208",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2647-alameda-central-condominio-cercado-de-lima-lima-lima-besco
"28 de Febrero, 2025",65.00 a 80.00 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,1,3 dorm.,65.60 m2,TORRE 3-1er Piso-TIPO 12,"336,508",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2647-alameda-central-condominio-cercado-de-lima-lima-lima-besco
"28 de Febrero, 2025",65.00 a 80.00 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,1,3 dorm.,65.60 m2,TORRE 3-1er Piso-TIPO 1,"336,608",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2647-alameda-central-condominio-cercado-de-lima-lima-lima-besco
"28 de Febrero, 2025",65.00 a 80.00 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,1,3 dorm.,65.00 m2,TORRE 8-1er Piso-TIPO 1,"318,700",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2647-alameda-central-condominio-cercado-de-lima-lima-lima-besco
"28 de Febrero, 2025",65.00 a 80.00 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,1,3 dorm.,80.00 m2,TORRE 8-1er Piso-TIPO 4,"361,300",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2647-alameda-central-condominio-cercado-de-lima-lima-lima-besco
